FRAME,validity,gaze_x,gaze_y,gaze_z,pupil_center_x,pupil_center_y
8251,1,0.264033,0.023096,0.964237,102,70
8252,1,0.248799,0.020578,0.968336,101,69
8253,1,0.234621,0.014417,0.97198,100,69
8254,1,0.224535,0.019089,0.974279,99,69
8255,1,0.218401,0.019326,0.975668,99,69
8256,1,0.250106,0.029883,0.967757,101,70
8257,1,0.306392,0.03159,0.951381,105,70
8258,1,0.30054,0.031624,0.953245,105,70
8259,1,0.290555,0.031407,0.956343,104,70
8260,1,0.284121,0.037114,0.95807,103,70
8261,1,0.280755,0.035157,0.959135,103,70
8262,1,0.275034,0.032855,0.960873,102,70
8263,1,0.272503,0.044449,0.961128,102,70
8264,1,0.267983,0.044985,0.962373,101,70
8265,1,0.264086,0.045909,0.963406,101,70
8266,1,0.296915,0.063257,0.952806,103,72
8267,1,0.291657,0.071772,0.953826,103,72
8268,1,0.287765,0.06972,0.95516,102,72
8269,1,0.284716,0.06908,0.95612,102,72
8270,1,0.28176,0.065214,0.957266,102,72
8271,1,0.275616,0.06406,0.959131,101,71
8272,1,0.269709,0.058279,0.961177,101,71
8273,1,0.265504,0.056517,0.962452,100,71
8274,1,0.251618,0.056399,0.966182,99,71
8275,1,0.24586,0.056795,0.96764,99,71
8276,1,0.240255,0.051898,0.969321,98,70
8277,1,0.238287,0.048765,0.96997,98,70
8278,1,0.239688,0.047712,0.969677,98,70
8279,1,0.238559,0.04779,0.969951,98,70
8280,1,0.235024,0.046261,0.970888,97,70
8281,1,0.22846,0.042707,0.972616,97,70
8282,1,0.2237,0.041755,0.973763,97,70
8283,1,0.219881,0.039922,0.974709,96,70
8284,1,0.216459,0.038135,0.975547,96,69
8285,1,0.221277,0.038369,0.974456,96,69
8286,1,0.216104,0.036262,0.975697,96,69
8287,1,0.212585,0.035411,0.976501,96,69
8288,1,0.207856,0.034399,0.977554,95,69
8289,1,0.202607,0.032239,0.978729,95,69
8290,1,0.197307,0.031155,0.979847,94,69
8291,1,0.193067,0.031112,0.980692,94,69
8292,1,0.188437,0.030795,0.981602,94,69
8293,1,0.184346,0.030555,0.982386,93,69
8294,1,0.180361,0.029662,0.983153,93,69
8295,1,0.176069,0.029849,0.983925,93,69
8296,1,0.171773,0.027112,0.984763,93,68
8297,1,0.184753,0.026276,0.982434,93,68
8298,1,0.181212,0.02587,0.983104,93,68
8299,1,0.178264,0.024205,0.983685,93,68
8300,1,0.17396,0.022209,0.984502,93,68
8301,1,0.170225,0.021758,0.985165,92,68
8302,1,0.166188,0.019942,0.985892,92,68
8303,1,0.063263,-0.009041,0.997956,85,66
8304,1,-0.156174,-0.063884,0.985661,69,62
8305,1,-0.321009,-0.075064,0.944097,57,61
8306,1,-0.331171,-0.07596,0.940508,56,61
8307,1,-0.287137,-0.074425,0.954994,59,61
8308,1,-0.257166,-0.085936,0.962539,61,60
8309,1,-0.23653,-0.091235,0.967331,63,60
8310,1,-0.23029,-0.090014,0.96895,63,60
8311,1,-0.224791,-0.083876,0.97079,64,60
8312,1,-0.261965,-0.084148,0.961402,61,60
8313,1,-0.264514,-0.080442,0.961021,61,60
8314,1,-0.261746,-0.074123,0.962286,61,61
8315,1,-0.260299,-0.071318,0.962891,61,61
8316,1,-0.258989,-0.072349,0.963167,61,61
8317,1,-0.257341,-0.070077,0.963776,61,61
8318,1,-0.218957,-0.080044,0.972446,64,60
8319,1,-0.221711,-0.076879,0.972077,64,60
8320,1,-0.221549,-0.074591,0.972292,64,60
8321,1,-0.220321,-0.074161,0.972604,64,60
8322,1,-0.061515,-0.00841,0.998071,76,65
8323,1,-0.028565,0.012996,0.999507,78,67
8324,1,-0.025337,0.014643,0.999572,78,67
8325,1,-0.025033,0.015433,0.999567,78,67
8326,1,-0.025559,0.01555,0.999552,78,67
8327,1,-0.025287,0.014614,0.999573,78,67
8328,1,-0.027867,0.013318,0.999523,78,67
8329,1,-0.03121,0.015415,0.999394,78,67
8330,1,-0.032186,0.014893,0.999371,78,67
8331,1,0.086955,0.033084,0.995663,86,68
8332,1,0.132407,0.033705,0.990622,89,68
8333,1,0.131999,0.032061,0.990731,89,68
8334,1,0.127232,0.026665,0.991514,89,67
8335,1,0.123239,0.013051,0.992291,88,66
8336,1,0.11761,0.01542,0.99294,88,66
8337,1,0.131778,0.008488,0.991243,89,66
8338,1,0.147179,0.002106,0.989108,90,65
8339,1,0.146138,0.005389,0.989249,90,66
8340,1,0.144628,0.011078,0.989424,89,66
8341,1,0.140049,0.01335,0.990055,89,66
8342,1,0.133131,0.012017,0.991026,88,66
8343,1,0.242446,0.041307,0.969285,96,68
8344,1,0.28858,0.04478,0.956408,99,68
8345,1,0.275067,0.041042,0.960549,98,68
8346,1,0.267447,0.044851,0.962528,98,68
8347,1,0.259997,0.042401,0.964678,97,68
8348,1,0.254282,0.046926,0.965991,96,68
8349,1,0.260804,0.050173,0.964087,97,69
8350,1,0.422646,0.077241,0.902997,108,70
8351,1,0.472242,0.080714,0.877766,111,71
8352,1,0.464135,0.0687,0.883096,111,70
8353,1,0.449582,0.064403,0.890914,110,69
8354,1,0.437568,0.068453,0.896576,109,70
8355,1,0.428017,0.066422,0.901326,108,70
8356,1,0.41969,0.062983,0.90548,108,69
8357,1,0.41032,0.063516,0.909727,107,69
8358,1,0.399091,0.06549,0.914569,106,70
8359,1,0.389759,0.059963,0.918963,106,69
8360,1,0.402705,0.06508,0.913013,107,70
8361,1,0.451754,0.080268,0.888524,110,71
8362,1,0.44445,0.078538,0.892354,110,71
8363,1,0.435607,0.075208,0.89699,109,71
8364,1,0.426972,0.072743,0.901334,109,71
8365,1,0.419997,0.071945,0.904669,108,71
8366,1,0.409957,0.070534,0.909373,107,70
8367,1,0.402591,0.068891,0.912784,107,70
8368,1,0.391309,0.062369,0.918144,106,70
8369,1,0.392859,0.061968,0.917509,106,70
8370,1,0.487826,0.05079,0.871462,113,69
8371,1,0.494258,0.046505,0.86807,114,69
8372,1,0.483913,0.044472,0.873986,113,69
8373,1,0.47732,0.042566,0.877698,112,69
8374,1,0.470111,0.041372,0.881637,112,68
8375,1,0.462914,0.041358,0.885438,111,68
8376,1,0.455249,0.039392,0.889492,111,68
8377,1,0.447096,0.037115,0.893716,110,68
8378,1,0.438988,0.031216,0.897951,109,68
8379,1,0.431783,0.028735,0.90152,109,67
8380,1,0.423404,0.027301,0.90553,108,67
8381,1,0.164978,-0.015922,0.986169,90,64
8382,1,-0.043853,-0.030375,0.998576,75,63
8383,1,-0.139196,-0.019167,0.990079,68,64
8384,1,-0.11661,-0.01637,0.993043,70,64
8385,1,-0.099681,-0.016295,0.994886,71,64
8386,1,-0.086231,-0.015698,0.996152,72,64
