FRAME,validity,gaze_x,gaze_y,gaze_z,pupil_center_x,pupil_center_y
3601,1,0.281886,-0.111943,0.952895,117,43
3602,1,0.282173,-0.114791,0.952471,117,42
3603,1,0.281291,-0.111139,0.953165,117,43
3604,1,0.282069,-0.114613,0.952524,117,42
3605,1,0.281567,-0.111954,0.952988,117,43
3606,1,0.281393,-0.114889,0.95269,117,42
3607,1,0.279816,-0.112253,0.953468,116,43
3608,1,0.279767,-0.11538,0.95311,116,42
3609,1,0.279077,-0.11174,0.953745,116,43
3610,1,0.278988,-0.115798,0.953287,116,42
3611,1,0.278419,-0.112179,0.953886,116,43
3612,1,0.278496,-0.116735,0.953317,116,42
3613,1,0.279325,-0.113235,0.953497,116,42
3614,1,0.278974,-0.116138,0.95325,116,42
3615,1,0.279035,-0.11284,0.953628,116,43
3616,1,0.281054,-0.11616,0.952636,117,42
3617,1,0.280817,-0.113073,0.953077,117,43
3618,1,0.281231,-0.116913,0.952492,117,42
3619,1,0.281286,-0.113532,0.952884,117,42
3620,1,0.281797,-0.117409,0.952263,117,42
3621,1,0.281407,-0.114375,0.952748,117,42
3622,1,0.281292,-0.117236,0.952434,117,42
3623,1,0.281086,-0.11463,0.952812,117,42
3624,1,0.280659,-0.118015,0.952525,117,42
3625,1,0.281103,-0.115187,0.95274,117,42
3626,1,0.280746,-0.118428,0.952448,117,42
3627,1,0.27963,-0.115143,0.953179,116,42
3628,1,0.278832,-0.119365,0.952893,116,42
3629,1,0.279558,-0.115136,0.9532,116,42
3630,1,0.278712,-0.119605,0.952898,116,42
3631,1,0.279221,-0.116329,0.953155,116,42
3632,1,0.278786,-0.119695,0.952865,116,42
3633,1,0.279761,-0.115829,0.953057,116,42
3634,1,0.279851,-0.119052,0.952633,116,42
3635,1,0.279923,-0.115261,0.953078,116,42
3636,1,0.28024,-0.118128,0.952634,116,42
3637,1,0.280859,-0.114398,0.952907,116,42
3638,1,0.279995,-0.117331,0.952804,116,42
3639,1,0.281175,-0.114512,0.9528,116,42
3640,1,0.275233,-0.123548,0.953406,116,42
3641,1,0.275314,-0.123633,0.953371,116,42
