FRAME,validity,gaze_x,gaze_y,gaze_z,pupil_center_x,pupil_center_y
36001,1,-0.254189,-0.240898,0.936673,70.0,45.0
36002,1,-0.260618,-0.230105,0.937619,69.0,46.0
36003,1,-0.257172,-0.230132,0.938564,70.0,46.0
36004,1,-0.244773,-0.233974,0.940926,71.0,45.0
36005,1,-0.247995,-0.237878,0.939102,70.0,45.0
36006,1,-0.248062,-0.240885,0.938318,70.0,45.0
36007,1,-0.239385,-0.242429,0.940172,71.0,45.0
36008,1,-0.233042,-0.240985,0.942135,71.0,45.0
36009,1,-0.231052,-0.237553,0.943495,71.0,45.0
36010,1,-0.230234,-0.234138,0.944548,72.0,45.0
36011,1,-0.232368,-0.23158,0.944657,71.0,46.0
36012,1,-0.233154,-0.2313,0.944531,71.0,46.0
36013,1,-0.233194,-0.231569,0.944456,71.0,46.0
36014,1,-0.233361,-0.230777,0.944608,71.0,46.0
36015,1,-0.233422,-0.229102,0.945001,71.0,46.0
36016,1,-0.232282,-0.22796,0.945558,71.0,46.0
36017,1,-0.232467,-0.232423,0.944425,71.0,46.0
36018,1,-0.230833,-0.236673,0.94377,72.0,45.0
36019,1,-0.23155,-0.236922,0.943532,71.0,45.0
36020,1,-0.231065,-0.236176,0.943838,72.0,45.0
36021,1,-0.231666,-0.233043,0.944469,71.0,46.0
36022,1,-0.231667,-0.23146,0.944858,71.0,46.0
36023,1,-0.229651,-0.234122,0.944694,72.0,46.0
36024,1,-0.22826,-0.237795,0.944114,72.0,45.0
36025,1,-0.22814,-0.236568,0.944451,72.0,45.0
36026,1,-0.228009,-0.232522,0.945487,72.0,46.0
36027,1,-0.227287,-0.228917,0.94654,72.0,46.0
36028,1,-0.227415,-0.228299,0.946658,72.0,46.0
36029,1,-0.227496,-0.231204,0.945933,72.0,46.0
36030,1,-0.226992,-0.232615,0.945709,72.0,46.0
36031,1,-0.227121,-0.233838,0.945376,72.0,46.0
36032,1,-0.227976,-0.233365,0.945287,72.0,46.0
36033,1,-0.22759,-0.232363,0.945627,72.0,46.0
36034,1,-0.227762,-0.233075,0.94541,72.0,46.0
36035,1,-0.227031,-0.232682,0.945683,72.0,46.0
36036,1,-0.226362,-0.230848,0.946293,72.0,46.0
36037,1,-0.224715,-0.229581,0.946993,72.0,46.0
36038,1,-0.224902,-0.229904,0.94687,72.0,46.0
36039,1,-0.223131,-0.231765,0.946835,72.0,46.0
36040,1,-0.221505,-0.232975,0.94692,72.0,46.0
36041,1,-0.220191,-0.231479,0.947593,72.0,46.0
36042,1,-0.218389,-0.229073,0.948595,72.0,46.0
36043,1,-0.217733,-0.226115,0.949455,72.0,46.0
36044,1,-0.215712,-0.223414,0.950555,73.0,47.0
36045,1,-0.215348,-0.223276,0.95067,73.0,47.0
36046,1,-0.22627,-0.225674,0.947562,72.0,46.0
36047,1,-0.246558,-0.225602,0.942504,70.0,46.0
36048,1,-0.260213,-0.22509,0.938948,69.0,46.0
36049,1,-0.274291,-0.224237,0.935138,69.0,46.0
36050,1,-0.279685,-0.223134,0.933803,68.0,46.0
36051,1,-0.278029,-0.223689,0.934164,68.0,46.0
36052,1,-0.276843,-0.224702,0.934274,68.0,46.0
36053,1,-0.27813,-0.225093,0.933797,68.0,46.0
36054,1,-0.27884,-0.226275,0.933299,68.0,46.0
