FRAME,validity,gaze_x,gaze_y,gaze_z,pupil_center_x,pupil_center_y
1,1,0.410377,-0.169408,0.896042,83.0,76.0
2,1,0.410698,-0.171359,0.895524,83.0,76.0
3,1,0.410322,-0.172451,0.895487,83.0,75.0
4,1,0.41023,-0.172288,0.89556,83.0,75.0
5,1,0.409698,-0.171502,0.895955,83.0,75.0
6,1,0.409071,-0.171048,0.896328,83.0,75.0
7,1,0.408889,-0.170505,0.896514,83.0,75.0
8,1,0.408636,-0.17101,0.896533,83.0,75.0
9,1,0.408562,-0.172039,0.89637,83.0,75.0
10,1,0.407552,-0.172563,0.896729,83.0,75.0
11,1,0.407233,-0.173331,0.896726,83.0,75.0
12,1,0.407173,-0.173584,0.896704,83.0,75.0
13,1,0.406641,-0.173122,0.897035,83.0,75.0
14,1,0.406121,-0.172748,0.897343,83.0,75.0
15,1,0.405078,-0.171968,0.897964,82.0,75.0
16,1,0.404465,-0.171338,0.89836,82.0,75.0
17,1,0.403646,-0.170716,0.898847,82.0,75.0
18,1,0.403462,-0.170167,0.899034,82.0,75.0
19,1,0.402567,-0.169966,0.899473,82.0,75.0
20,1,0.402075,-0.169579,0.899766,82.0,75.0
21,1,0.401417,-0.169001,0.900168,82.0,75.0
22,1,0.401302,-0.168901,0.900238,82.0,75.0
23,1,0.400814,-0.169084,0.900421,82.0,75.0
24,1,0.400243,-0.168713,0.900745,82.0,75.0
25,1,0.399108,-0.170009,0.901005,82.0,75.0
26,1,0.39827,-0.170344,0.901312,82.0,75.0
27,1,0.397951,-0.170257,0.90147,82.0,74.0
28,1,0.397333,-0.171234,0.901557,82.0,74.0
29,1,0.39649,-0.171416,0.901894,82.0,74.0
30,1,0.395346,-0.171343,0.90241,82.0,74.0
31,1,0.394551,-0.171274,0.902771,82.0,74.0
32,1,0.394139,-0.170338,0.903127,82.0,74.0
33,1,0.393671,-0.169005,0.903582,82.0,74.0
34,1,0.393584,-0.16813,0.903783,82.0,74.0
35,1,0.393365,-0.167567,0.903983,82.0,74.0
36,1,0.393211,-0.167372,0.904086,82.0,74.0
37,1,0.391891,-0.169658,0.904233,81.0,74.0
38,1,0.391117,-0.16976,0.904549,81.0,74.0
39,1,0.390319,-0.168928,0.905049,81.0,74.0
40,1,0.390391,-0.168616,0.905076,81.0,74.0
41,1,0.389439,-0.168713,0.905469,81.0,74.0
42,1,0.38864,-0.168486,0.905854,81.0,74.0
43,1,0.388086,-0.169661,0.905872,81.0,74.0
44,1,0.387988,-0.171368,0.905593,81.0,73.0
45,1,0.387697,-0.174185,0.90518,81.0,73.0
46,1,0.387218,-0.175187,0.905192,81.0,73.0
47,1,0.386795,-0.175872,0.90524,81.0,73.0
48,1,0.38669,-0.176545,0.905154,81.0,73.0
49,1,0.385959,-0.177883,0.905203,81.0,73.0
50,1,0.385261,-0.179091,0.905263,81.0,72.0
51,1,0.384374,-0.181134,0.905233,81.0,72.0
52,1,0.383496,-0.181486,0.905535,81.0,72.0
53,1,0.383356,-0.182137,0.905463,81.0,72.0
54,1,0.38345,-0.182681,0.905314,81.0,72.0
55,1,0.383284,-0.184027,0.905112,81.0,72.0
56,1,0.382533,-0.184597,0.905314,81.0,72.0
57,1,0.382437,-0.185122,0.905247,81.0,71.0
58,1,0.382797,-0.185253,0.905068,81.0,71.0
59,1,0.382439,-0.184986,0.905274,81.0,71.0
60,1,0.382147,-0.185464,0.9053,81.0,71.0
61,1,0.382118,-0.185806,0.905242,81.0,71.0
62,1,0.38182,-0.185444,0.905441,81.0,71.0
63,1,0.382746,-0.188809,0.904354,81.0,71.0
64,1,0.385354,-0.203074,0.900146,81.0,69.0
65,1,0.384437,-0.21745,0.897176,81.0,68.0
66,1,0.3857,-0.221336,0.895682,81.0,68.0
67,1,0.385736,-0.221729,0.895569,81.0,67.0
68,1,0.386601,-0.223004,0.894879,81.0,67.0
69,1,0.386769,-0.223327,0.894726,81.0,67.0
70,1,0.386103,-0.225111,0.894567,81.0,67.0
71,1,0.3863,-0.225835,0.894299,81.0,67.0
72,1,0.386302,-0.227282,0.893932,82.0,66.0
73,1,0.38585,-0.228931,0.893706,81.0,66.0
74,1,0.385849,-0.229359,0.893597,81.0,66.0
75,1,0.385373,-0.230955,0.893391,81.0,66.0
76,1,0.385857,-0.231311,0.89309,82.0,66.0
77,1,0.385771,-0.232645,0.892781,82.0,66.0
78,1,0.385921,-0.234146,0.892323,82.0,65.0
79,1,0.385873,-0.235898,0.891882,82.0,65.0
80,1,0.386663,-0.237175,0.891202,82.0,65.0
81,1,0.387074,-0.23901,0.890532,82.0,65.0
82,1,0.386949,-0.240554,0.890171,82.0,64.0
83,1,0.387395,-0.241285,0.889779,82.0,64.0
84,1,0.388212,-0.242039,0.889218,82.0,64.0
85,1,0.38809,-0.243209,0.888952,82.0,64.0
86,1,0.387837,-0.244698,0.888654,82.0,64.0
87,1,0.38826,-0.247199,0.887776,82.0,63.0
88,1,0.389139,-0.248011,0.887165,82.0,63.0
89,1,0.389119,-0.248715,0.886976,82.0,63.0
90,1,0.390123,-0.249219,0.886394,82.0,63.0
91,1,0.390857,-0.251413,0.88545,82.0,63.0
92,1,0.391148,-0.252387,0.885045,82.0,62.0
93,1,0.391008,-0.254395,0.884532,82.0,62.0
94,1,0.390813,-0.255597,0.884271,82.0,62.0
95,1,0.390565,-0.256534,0.884109,82.0,62.0
96,1,0.390201,-0.256887,0.884168,82.0,62.0
97,1,0.390225,-0.257638,0.883938,82.0,62.0
98,1,0.38965,-0.25897,0.883803,82.0,61.0
99,1,0.390265,-0.261316,0.882841,82.0,61.0
100,1,0.390712,-0.263325,0.882045,82.0,61.0
101,1,0.39009,-0.26457,0.881948,82.0,61.0
102,1,0.389685,-0.265506,0.881846,82.0,60.0
103,1,0.389272,-0.265922,0.881903,82.0,60.0
104,1,0.388754,-0.266311,0.882014,82.0,60.0
105,1,0.3886,-0.266273,0.882093,82.0,60.0
106,1,0.387831,-0.266872,0.882251,82.0,60.0
107,1,0.387598,-0.266757,0.882388,82.0,60.0
108,1,0.387925,-0.267244,0.882097,82.0,60.0
